Date,Close
7/1/2015 16:00:00,96.09
7/2/2015 16:00:00,95.87
7/6/2015 16:00:00,94.77
7/7/2015 16:00:00,95.27
7/8/2015 16:00:00,93.56
7/9/2015 16:00:00,93.78
7/10/2015 16:00:00,94.41
7/13/2015 16:00:00,94.6
7/14/2015 16:00:00,95.55
7/15/2015 16:00:00,94.24
7/16/2015 16:00:00,94.48
7/17/2015 16:00:00,93.15
7/20/2015 16:00:00,92.94
7/21/2015 16:00:00,93.9
7/22/2015 16:00:00,93.51
7/23/2015 16:00:00,92.94
7/24/2015 16:00:00,90.6
7/27/2015 16:00:00,89.14
7/28/2015 16:00:00,92.4
7/29/2015 16:00:00,93.25
7/30/2015 16:00:00,93.03
7/31/2015 16:00:00,88.48
8/3/2015 16:00:00,85.6
8/4/2015 16:00:00,85.21
8/5/2015 16:00:00,84.03
8/6/2015 16:00:00,85.19
8/7/2015 16:00:00,83.75
8/10/2015 16:00:00,85.89
8/11/2015 16:00:00,85.78
8/12/2015 16:00:00,86.79
8/13/2015 16:00:00,85.85
8/14/2015 16:00:00,85.99
8/17/2015 16:00:00,83.23
8/18/2015 16:00:00,83.44
8/19/2015 16:00:00,80.91
8/20/2015 16:00:00,79.24
8/21/2015 16:00:00,75.76
8/24/2015 16:00:00,72.12
8/25/2015 16:00:00,70.02
8/26/2015 16:00:00,73.09
8/27/2015 16:00:00,77.64
8/28/2015 16:00:00,80.43
8/31/2015 16:00:00,80.99
9/1/2015 16:00:00,78.19
9/2/2015 16:00:00,78.06
9/3/2015 16:00:00,78.26
9/4/2015 16:00:00,76.67
9/8/2015 16:00:00,76.84
9/9/2015 16:00:00,74.92
9/10/2015 16:00:00,75.66
9/11/2015 16:00:00,75.79
9/14/2015 16:00:00,75.77
9/15/2015 16:00:00,77.17
9/16/2015 16:00:00,79.02
9/17/2015 16:00:00,79.41
9/18/2015 16:00:00,77.74
9/21/2015 16:00:00,78.09
9/22/2015 16:00:00,77.25
9/23/2015 16:00:00,76.12
9/24/2015 16:00:00,76.89
9/25/2015 16:00:00,77.7
9/28/2015 16:00:00,75.77
9/29/2015 16:00:00,76.25
9/30/2015 16:00:00,78.88
10/1/2015 16:00:00,78.34
10/2/2015 16:00:00,81.55
10/5/2015 16:00:00,84.03
10/6/2015 16:00:00,86.99
10/7/2015 16:00:00,88.12
10/8/2015 16:00:00,89.91
10/9/2015 16:00:00,89.57
10/12/2015 16:00:00,88.74
10/13/2015 16:00:00,88.38
10/14/2015 16:00:00,89.76
10/15/2015 16:00:00,90.72
10/16/2015 16:00:00,91.29
10/19/2015 16:00:00,90.03
10/20/2015 16:00:00,89.99
10/21/2015 16:00:00,89.33
10/22/2015 16:00:00,91.62
10/23/2015 16:00:00,91.24
10/26/2015 16:00:00,88.77
10/27/2015 16:00:00,87.7
10/28/2015 16:00:00,89.79
10/29/2015 16:00:00,89.89
10/30/2015 16:00:00,90.88
11/2/2015 16:00:00,94.96
11/3/2015 16:00:00,98.14
11/4/2015 16:00:00,96.77
11/5/2015 16:00:00,94.55
11/6/2015 16:00:00,94.03
11/9/2015 16:00:00,92.32
11/10/2015 16:00:00,93.23
11/11/2015 16:00:00,92.19
11/12/2015 16:00:00,89.86
11/13/2015 16:00:00,88.68
11/16/2015 16:00:00,91.45
11/17/2015 16:00:00,91.03
11/18/2015 16:00:00,92.21
11/19/2015 16:00:00,90.83
11/20/2015 16:00:00,89.01
11/23/2015 16:00:00,90.01
11/24/2015 16:00:00,91.35
11/25/2015 16:00:00,90.87
11/27/2015 16:00:00,90.37
11/30/2015 16:00:00,91.32
12/1/2015 16:00:00,92.48
12/2/2015 16:00:00,90.25
12/3/2015 16:00:00,88.85
12/4/2015 16:00:00,89.71
12/7/2015 16:00:00,87.28
12/8/2015 16:00:00,86.44
12/9/2015 16:00:00,87.6
12/10/2015 16:00:00,89.3
12/11/2015 16:00:00,86.44
12/14/2015 16:00:00,89.33
12/15/2015 16:00:00,92.76
12/16/2015 16:00:00,93.44
12/17/2015 16:00:00,90.54
12/18/2015 16:00:00,89.81
12/21/2015 16:00:00,89.24
12/22/2015 16:00:00,90.27
12/23/2015 16:00:00,93.81
12/24/2015 16:00:00,92.05
12/28/2015 16:00:00,90.36
12/29/2015 16:00:00,91.25
12/30/2015 16:00:00,90.09
12/31/2015 16:00:00,89.96
1/4/2016 16:00:00,88.85
1/5/2016 16:00:00,89.61
1/6/2016 16:00:00,86.07
1/7/2016 16:00:00,83.02
1/8/2016 16:00:00,82.13
1/11/2016 16:00:00,80.77
1/12/2016 16:00:00,82.15
1/13/2016 16:00:00,81.33
1/14/2016 16:00:00,85.47
1/15/2016 16:00:00,83.67
1/19/2016 16:00:00,81.51
1/20/2016 16:00:00,78.98
1/21/2016 16:00:00,81.05
1/22/2016 16:00:00,83.54
1/25/2016 16:00:00,80.89
1/26/2016 16:00:00,84.12
1/27/2016 16:00:00,83.29
1/28/2016 16:00:00,85.92
1/29/2016 16:00:00,86.47
2/1/2016 16:00:00,85.29
2/2/2016 16:00:00,81.24
2/3/2016 16:00:00,84.62
2/4/2016 16:00:00,84.79
2/5/2016 16:00:00,82.88
2/8/2016 16:00:00,85.99
2/9/2016 16:00:00,82.92
2/10/2016 16:00:00,83.04
2/11/2016 16:00:00,82.99
2/12/2016 16:00:00,85.43
2/16/2016 16:00:00,84.81
2/17/2016 16:00:00,88.31
2/18/2016 16:00:00,86.73
2/19/2016 16:00:00,86.5
2/22/2016 16:00:00,88.82
2/23/2016 16:00:00,84.91
2/24/2016 16:00:00,85.27
2/25/2016 16:00:00,85.3
2/26/2016 16:00:00,84.35
2/29/2016 16:00:00,83.44
3/1/2016 16:00:00,86.13
3/2/2016 16:00:00,87.14
3/3/2016 16:00:00,87.53
3/4/2016 16:00:00,87.93
3/7/2016 16:00:00,90.67
3/8/2016 16:00:00,88.74
3/9/2016 16:00:00,92.82
3/10/2016 16:00:00,93.94
3/11/2016 16:00:00,94.58
3/14/2016 16:00:00,94.26
3/15/2016 16:00:00,94.27
3/16/2016 16:00:00,95.4
3/17/2016 16:00:00,96.89
3/18/2016 16:00:00,97.69
3/21/2016 16:00:00,96.44
3/22/2016 16:00:00,95.5
3/23/2016 16:00:00,93.59
3/24/2016 16:00:00,94.85
3/28/2016 16:00:00,94.68
3/29/2016 16:00:00,95.32
3/30/2016 16:00:00,95.25
3/31/2016 16:00:00,95.4
4/1/2016 16:00:00,94.26
4/4/2016 16:00:00,93.43
4/5/2016 16:00:00,92.67
4/6/2016 16:00:00,94.84
4/7/2016 16:00:00,94.79
4/8/2016 16:00:00,96.33
4/11/2016 16:00:00,95.24
4/12/2016 16:00:00,97.51
4/13/2016 16:00:00,97.6
4/14/2016 16:00:00,97.98
4/15/2016 16:00:00,97.23
4/18/2016 16:00:00,98.7
4/19/2016 16:00:00,100.5
4/20/2016 16:00:00,101.69
4/21/2016 16:00:00,101.4
4/22/2016 16:00:00,102.01
4/25/2016 16:00:00,101.51
4/26/2016 16:00:00,102.29
4/27/2016 16:00:00,103.85
4/28/2016 16:00:00,102.4
4/29/2016 16:00:00,102.18
5/2/2016 16:00:00,103.31
5/3/2016 16:00:00,101.32
